id_poliza,placa,categoria,marca,modelo,anio,color,reserva_proyecto,vig_desde,vig_hasta,total_asegurado,deducible
VO-0201232,JH265K,Moto,HONDA,XR190L,2021,ROJO,REFUGIO DE VIDA SILVESTRE PACOCHE,,,3000.0,"TODO RIESGO · 20% valor del siniestro, mínimo USD $200,00"
VO-0201232,JH264K,Moto,HONDA,XR190L,2021,ROJA,REFUGIO DE VIDA SILVESTRE PACOCHE,,,3000.0,"TODO RIESGO · 20% valor del siniestro, mínimo USD $200,00"
VO-0201234,JW414N,Moto,HONDA,XR190L,2022,ROJO,PARQUE NACIONAL LLANGANATES,,,3090.0,"TODO RIESGO · 20% valor del siniestro, mínimo USD $200,00"
VO-0201234,JW472N,Moto,HONDA,XR190L,2022,ROJO,PARQUE NACIONAL LLANGANATES,,,3090.0,"TODO RIESGO · 20% valor del siniestro, mínimo USD $200,00 · 3"
VO-0201234,JW473N,Moto,HONDA,XR190L,2022,ROJO,PARQUE NACIONAL LLANGANATES,,,3090.0,TODO RIESGO · 3
VO-0201248,JS836T,Cuadrón,HONDA,SXS520M2,2022,ROJO,RESERVA MARINA GALERAS SAN FRANCISCO,,,17000.0,"Pérdida parcial por choque o robo: · 20% valor del siniestro, 2% v/a, mínimo US $ 200,00 (EL MAYOR DE LOS TRES) · Perdida total por choque o robo: · 25% del valor asegurado"
VO-0201266,JG997V,Moto,HONDA,XR190L,2022,BLANCO,REFUGIO DE VIDA SILVESTRE EL ZARZA,,,3000.0,"Todo riesgo · 20% v.s , min USD 200 (EL MAYOR DE LOS DOS)"
VO-0201266,JG996V,Moto,HONDA,XR190L,2022,BLANCO,REFUGIO DE VIDA SILVESTRE EL ZARZA,,,3000.0,"Todo riesgo · 20% v.s , min USD 200 (EL MAYOR DE LOS DOS)"
VO-0201266,JG995V,Moto,HONDA,XR190L,2022,ROJO,REFUGIO DE VIDA SILVESTRE EL ZARZA,,,3000.0,"Todo riesgo · 20% v.s , min USD 200 (EL MAYOR DE LOS DOS)"
VO-0201267,JW415N,Moto,HONDA,XR190L,2022,ROJO,PARQUE NACIONAL SANGAY,,,3000.0,"TODO RIESGO · 20% valor del siniestro, mínimo USD $200,00"
VO-0201271,JJ835T,Moto,DAYTONA,DY200 FORCE DS,2022,BLANCO,RESERVA SANTA ELENA,,,1300.0,"10% DEL VALOR DEL SINIESTRO , MINIMO USD $ 250,00 ( EL MAYOR DE LOS DOS)"
VO-0201291,KR449O,Moto,HONDA,XR190L,2026,BLANCO,RESERVA MARINA PUERTO CABUYAL,,,4749.99,"20% v.s , min USD 200 (EL MAYOR DE LOS DOS)"
VP-0205090,GSV5174,Jeep/SUV,SUZUKI,GRAND VITARA SZ AC 2.0 5P 4X2 TM,2018,BLANCO,PASF II,,,14000.0,Perdida parcial (por evento) USD 550 · Daños parciales o perdida total 10% v.a. · Perdidas totales robo o hurto 10% v.a. · Si se vuelve de alto riego por robo y/o hurto 20% v.a.
VP-0205092,PFD3377,Camioneta,JAC,HFC1037D3KST LUXURY T8 AC 2.0 CD 4X4 TML,2024,BLANCO,PASF II,,,24355.35,Perdida parcial (por evento) USD 550 · Daños parciales o perdida total 10% v.a. · Perdidas totales robo o hurto 10% v.a. · Si se vuelve de alto riego por robo y/o hurto 20% v.a.
VP-0205092,PFD3378,Camioneta,JAC,HFC1037D3KST LUXURY T8 AC 2.0 CD 4X4 TML,2024,BLANCO,PASF II,,,24355.35,Perdida parcial (por evento) USD 550 · Daños parciales o perdida total 10% v.a. · Perdidas totales robo o hurto 10% v.a. · Si se vuelve de alto riego por robo y/o hurto 20% v.a.
VP-0205277,PDT4190,Camioneta,CHEVROLET,D-MAX CRDI 2.5 CD 4X4 TM DIESEL,2022,BLANCO,REFUGIO DE VIDA SILVESTRE EL MORRO,,,27000.0,Perdida parcial (por evento) USD 550 · Daños parciales o perdida total 10% v.a. · Perdidas totales robo o hurto 10% v.a. · Si se vuelve de alto riego por robo y/o hurto 20% v.a. · Perdida total con dispositivo
VP-0205359,PFB2623,Camioneta,NISSAN,FRONTIER SE AC 2.5 CD 4X4 TM DIESEL,2024,PLATEADO,PARQUE NACIONAL ANTISANA,,,30181.5,Perdida parcial (por evento) : USD 550 · Daños parciales o perdida total : 10% valor asegurado. · Perdidas totales robo o hurto : 10% valor asegurado. · Si se vuelve de alto riego por robo y/o hurto : 20% valor asegurado. · Perdida total con dispositivo
VP-0205415,PDF8770,Jeep/SUV,TOYOTA,NEW FORTUNER AC 2.7 5P 4X4 TM,2019,PLOMO,FIAS / VEHÍCULO INSTITUCIONAL,,,37000.0,Perdida parcial (por evento) : USD 550 · Daños parciales o perdida total : 10% valor asegurado. · Perdidas totales robo o hurto : 10% valor asegurado. · Si se vuelve de alto riego por robo y/o hurto : 20% valor asegurado. · Perdida total con dispositivo
VP-0205468,PDU4216,Camioneta,JAC,HFC1037D3KST LUXURY T8 AC 2.0 CD 4X4 TM,2022,PLATEADO,PARQUE NACIONAL MACHALILLA,,,20400.0,Perdida parcial (por evento) : USD 550 · Daños parciales o perdida total : 10% valor asegurado. · Perdidas totales robo o hurto : 10% valor asegurado. · Si se vuelve de alto riego por robo y/o hurto : 20% valor asegurado. · Perdida total con dispositivo
